"0001","The Open University"
"0002","Cranfield University"
"0003","Royal College of Art"
"0007","Bishop Grosseteste University College Lincoln"
"0009","Buckinghamshire New University"
"0010","Central School of Speech and Drama"
"0011","University of Chester"
"0012","Canterbury Christ Church University"
"0013","York St John University"
"0014","University College Plymouth St Mark and St John"
"0016","Edge Hill University"
"0017","University College Falmouth"
"0018","Harper Adams University College"
"0021","The University of Winchester"
"0023","Liverpool Hope University"
"0024","University of the Arts London"
"0026","University of Bedfordshire"
"0027","The University of Northampton"
"0028","Newman University College"
"0030","Ravensbourne"
"0031","Roehampton University"
"0032","Rose Bruford College"
"0033","Royal Academy of Music"
"0034","Royal College of Music"
"0035","Royal Northern College of Music"
"0037","Southampton Solent University"
"0038","University of Cumbria"
"0039","St Mary's University College, Twickenham"
"0040","Leeds Trinity University College"
"0041","Trinity Laban Conservatoire of Music and Dance"
"0046","The University of Worcester"
"0047","Anglia Ruskin University"
"0048","Bath Spa University"
"0049","The University of Bolton"
"0050","Bournemouth University"
"0051","The University of Brighton"
"0052","Birmingham City University"
"0053","The University of Central Lancashire"
"0054","University of Gloucestershire"
"0056","Coventry University"
"0057","University of Derby"
"0058","The University of East London"
"0059","The University of Greenwich"
"0060","University of Hertfordshire"
"0061","The University of Huddersfield"
"0062","The University of Lincoln"
"0063","Kingston University"
"0064","Leeds Metropolitan University"
"0065","Liverpool John Moores University"
"0066","The Manchester Metropolitan University"
"0067","Middlesex University"
"0068","De Montfort University"
"0069","The University of Northumbria at Newcastle"
"0071","The Nottingham Trent University"
"0072","Oxford Brookes University"
"0073","The University of Plymouth"
"0074","The University of Portsmouth"
"0075","Sheffield Hallam University"
"0076","London South Bank University"
"0077","Staffordshire University"
"0078","The University of Sunderland"
"0079","The University of Teesside"
"0080","Thames Valley University"
"0081","University of the West of England, Bristol"
"0082","The University of Chichester"
"0083","The University of Westminster"
"0085","The University of Wolverhampton"
"0086","The University of Wales, Newport"
"0087","Glyndwr University"
"0089","University of Wales Institute, Cardiff"
"0090","University of Glamorgan"
"0091","Swansea Metropolitan University"
"0092","Trinity University College"
"0095","University of Abertay Dundee"
"0096","Edinburgh College of Art"
"0097","Glasgow School of Art"
"0100","Queen Margaret University, Edinburgh"
"0101","The Royal Scottish Academy of Music and Drama"
"0104","The Robert Gordon University"
"0105","The University of the West of Scotland"
"0106","Glasgow Caledonian University"
"0107","Edinburgh Napier University"
"0108","Aston University"
"0109","The University of Bath"
"0110","The University of Birmingham"
"0111","The University of Bradford"
"0112","The University of Bristol"
"0113","Brunel University"
"0114","The University of Cambridge"
"0115","The City University"
"0116","University of Durham"
"0117","The University of East Anglia"
"0118","The University of Essex"
"0119","The University of Exeter"
"0120","The University of Hull"
"0121","The University of Keele"
"0122","The University of Kent"
"0123","The University of Lancaster"
"0124","The University of Leeds"
"0125","The University of Leicester"
"0126","The University of Liverpool"
"0127","Birkbeck College"
"0131","Goldsmiths College"
"0132","Imperial College of Science, Technology and Medicine"
"0133","Institute of Education"
"0134","King's College London"
"0135","London Business School"
"0137","London School of Economics and Political Science"
"0138","London School of Hygiene and Tropical Medicine"
"0139","Queen Mary and Westfield College"
"0141","Royal Holloway and Bedford New College"
"0143","The Royal Veterinary College"
"0145","St George's Hospital Medical School"
"0146","The School of Oriental and African Studies"
"0147","The School of Pharmacy"
"0149","University College London"
"0151","University of London (Institutes and activities)"
"0152","Loughborough University"
"0154","The University of Newcastle-upon-Tyne"
"0155","The University of Nottingham"
"0156","The University of Oxford"
"0157","The University of Reading"
"0158","The University of Salford"
"0159","The University of Sheffield"
"0160","The University of Southampton"
"0161","The University of Surrey"
"0162","The University of Sussex"
"0163","The University of Warwick"
"0164","The University of York"
"0167","The University of Edinburgh"
"0168","The University of Glasgow"
"0169","The University of Strathclyde"
"0170","The University of Aberdeen"
"0171","Heriot-Watt University"
"0172","The University of Dundee"
"0173","The University of St Andrews"
"0174","The University of Stirling"
"0175","Scottish Agricultural College"
"0176","The University of Wales, Lampeter"
"0177","Aberystwyth University"
"0178","Bangor University"
"0179","Cardiff University"
"0180","Swansea University"
"0184","The Queen's University of Belfast"
"0185","University of Ulster"
"0188","The Institute of Cancer Research"
"0189","Writtle College"
"0190","Norwich University College of the Arts"
"0193","Stranmillis University College"
"0194","St Mary's University College"
"0195","Royal Agricultural College"
"0196","UHI Millennium Institute"
"0197","The Arts University College at Bournemouth"
"0199","Conservatoire for Dance and Drama"
"0200","University College Birmingham"
"0201","Courtauld Institute of Art"
"0202","London Metropolitan University"
"0203","The University of Buckingham"
"0204","The University of Manchester"
"0205","Heythrop College"
"0206","University for the Creative Arts"
"0207","Leeds College of Music"
"0208","Guildhall School of Music and Drama"
"0209","The Liverpool Institute for Performing Arts"
